Type,Value,Organization,Rating,Confidence,DateAdded,LastModified,Description,Source,DNS,Whois,Active,Observations,Date Last Observed,False Positives,Date FP Last Reported,Tags
Address,220.135.198.173,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,61.222.236.43,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,220.135.134.102,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,220.135.36.60,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,114.35.201.186,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,114.33.16.185,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,203.222.6.184,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,220.134.156.238,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,140.138.179.206,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,220.135.13.192,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,114.45.245.174,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,122.116.110.15,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,114.35.201.203,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,27.96.234.79,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,180.218.139.182,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,220.133.156.104,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,121.254.85.101,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,220.134.249.194,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,61.221.30.174,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,59.126.17.149,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,118.232.127.135,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,114.34.1.249,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,36.238.75.144,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,203.222.17.62,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,1.34.144.66,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,61.219.236.197,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,61.222.197.116,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,220.132.208.127,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,106.107.198.112,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,163.15.168.104,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,49.213.195.138,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,114.45.243.29,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,114.35.191.94,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,220.134.222.166,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,121.254.86.132,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,114.41.65.147,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,59.125.178.124,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,182.155.170.169,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,182.155.125.78,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,61.221.201.202,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,59.127.253.225,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,61.227.140.223,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,123.240.208.73,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,123.205.87.29,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,220.133.112.104,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,36.239.4.28,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,60.244.227.213,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,59.120.102.143,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,122.117.128.192,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,114.34.23.48,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,220.130.247.87,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,60.249.85.56,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,61.222.1.3,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,114.33.223.53,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,59.127.169.83,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,114.32.126.191,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
Address,114.34.170.59,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR940N"""
